관광지,음식점,문화시설,레포츠,숙박,축제공연행사,쇼핑,여행코스,방문자,도시
88.0,72.0,22.0,10.0,11.0,13.0,6.0,11.0,44117988,광주광역시 북구
31.0,15.0,2.0,0.0,11.0,0.0,1.0,0.0,43746426,광주광역시 광산구
133.0,207.0,51.0,15.0,79.0,19.0,39.0,23.0,72202901,대구광역시 중구
151.0,159.0,42.0,22.0,53.0,13.0,31.0,10.0,56700199,광주광역시 동구
81.0,84.0,39.0,19.0,36.0,19.0,11.0,11.0,21979016,광주광역시 서구
75.0,112.0,24.0,7.0,18.0,7.0,10.0,3.0,29561597,광주광역시 남구
88.0,72.0,22.0,10.0,11.0,13.0,6.0,11.0,49295908,광주광역시 북구
17.0,20.0,9.0,7.0,5.0,5.0,5.0,0.0,50025844,대구광역시 수성구
17.0,8.0,8.0,9.0,3.0,9.0,0.0,3.0,57722119,대구광역시 달서구
63.0,9.0,4.0,3.0,2.0,6.0,1.0,4.0,29490946,대구광역시 달성군
151.0,159.0,42.0,22.0,53.0,13.0,31.0,10.0,35875240,광주광역시 동구
133.0,207.0,51.0,15.0,79.0,19.0,39.0,23.0,44548476,대구광역시 중구
81.0,84.0,39.0,19.0,36.0,19.0,11.0,11.0,60307777,광주광역시 서구
23.0,58.0,13.0,8.0,10.0,4.0,1.0,3.0,56025896,대전광역시 유성구
25.0,26.0,6.0,6.0,1.0,0.0,2.0,1.0,23453535,대전광역시 대덕구
133.0,207.0,51.0,15.0,79.0,19.0,39.0,23.0,40819089,대구광역시 중구
81.0,84.0,39.0,19.0,36.0,19.0,11.0,11.0,20510883,광주광역시 서구
151.0,159.0,42.0,22.0,53.0,13.0,31.0,10.0,32155346,광주광역시 동구
17.0,6.0,6.0,4.0,4.0,0.0,2.0,3.0,16621976,부산광역시 영도구
15.0,57.0,6.0,2.0,11.0,1.0,11.0,0.0,73688721,부산광역시 부산진구
12.0,17.0,7.0,0.0,7.0,1.0,1.0,3.0,37658329,부산광역시 동래구
75.0,112.0,24.0,7.0,18.0,7.0,10.0,3.0,31160097,광주광역시 남구
88.0,72.0,22.0,10.0,11.0,13.0,6.0,11.0,21536953,광주광역시 북구
27.0,33.0,12.0,8.0,38.0,31.0,23.0,5.0,68577349,부산광역시 해운대구
13.0,5.0,3.0,2.0,3.0,0.0,0.0,1.0,24711871,부산광역시 사하구
16.0,17.0,10.0,4.0,4.0,0.0,2.0,1.0,29893737,부산광역시 금정구
10.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,34407286,부산광역시 강서구
4.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,26548831,부산광역시 연제구
12.0,10.0,2.0,1.0,19.0,4.0,3.0,0.0,34648274,부산광역시 수영구
5.0,9.0,2.0,1.0,3.0,0.0,3.0,0.0,29567392,부산광역시 사상구
23.0,15.0,5.0,2.0,1.0,1.0,4.0,2.0,35699701,부산광역시 기장군
133.0,207.0,51.0,15.0,79.0,19.0,39.0,23.0,26858760,대구광역시 중구
75.0,112.0,24.0,7.0,18.0,7.0,10.0,3.0,43528491,광주광역시 남구
151.0,159.0,42.0,22.0,53.0,13.0,31.0,10.0,12627995,광주광역시 동구
88.0,72.0,22.0,10.0,11.0,13.0,6.0,11.0,22361397,광주광역시 북구
48.0,76.0,9.0,5.0,17.0,4.0,1.0,7.0,29540670,울산광역시 울주군
133.0,207.0,51.0,15.0,79.0,19.0,39.0,23.0,73522849,대구광역시 중구
151.0,159.0,42.0,22.0,53.0,13.0,31.0,10.0,9206111,광주광역시 동구
75.0,112.0,24.0,7.0,18.0,7.0,10.0,3.0,0,광주광역시 남구
9.0,17.0,11.0,2.0,6.0,3.0,3.0,1.0,48600955,인천광역시 미추홀구
10.0,25.0,9.0,1.0,16.0,5.0,2.0,1.0,42013672,인천광역시 연수구
8.0,25.0,7.0,3.0,7.0,1.0,5.0,2.0,54294875,인천광역시 남동구
7.0,9.0,7.0,2.0,6.0,3.0,4.0,0.0,53578978,인천광역시 부평구
9.0,3.0,5.0,6.0,5.0,0.0,0.0,0.0,28817368,인천광역시 계양구
81.0,84.0,39.0,19.0,36.0,19.0,11.0,11.0,49973516,광주광역시 서구
85.0,46.0,12.0,23.0,16.0,2.0,8.0,13.0,15014200,인천광역시 강화군
49.0,1.0,0.0,3.0,20.0,0.0,0.0,0.0,5562626,인천광역시 옹진군
30.0,110.0,14.0,4.0,72.0,4.0,5.0,7.0,23709261,전라남도 목포시
81.0,79.0,8.0,10.0,66.0,1.0,10.0,8.0,24748486,전라남도 여수시
54.0,66.0,6.0,3.0,23.0,3.0,3.0,7.0,22828719,전라남도 순천시
47.0,9.0,6.0,3.0,9.0,0.0,6.0,5.0,14845628,전라남도 나주시
32.0,20.0,6.0,1.0,7.0,0.0,2.0,2.0,12487155,전라남도 광양시
39.0,22.0,7.0,9.0,6.0,0.0,4.0,3.0,13484676,전라남도 담양군
42.0,11.0,6.0,11.0,4.0,0.0,4.0,1.0,5181663,전라남도 곡성군
33.0,19.0,3.0,4.0,20.0,0.0,2.0,3.0,5490056,전라남도 구례군
73.0,10.0,5.0,1.0,8.0,0.0,2.0,5.0,5543364,전라남도 고흥군
37.0,19.0,5.0,4.0,17.0,0.0,10.0,5.0,6597715,전라남도 보성군
63.0,8.0,4.0,1.0,4.0,0.0,2.0,1.0,11651111,전라남도 화순군
46.0,9.0,7.0,4.0,13.0,0.0,3.0,5.0,4723841,전라남도 장흥군
66.0,8.0,8.0,2.0,13.0,1.0,5.0,8.0,5405528,전라남도 강진군
51.0,32.0,7.0,5.0,15.0,2.0,3.0,6.0,7887076,전라남도 해남군
25.0,7.0,6.0,1.0,6.0,2.0,4.0,4.0,9322639,전라남도 영암군
30.0,2.0,2.0,2.0,7.0,2.0,5.0,3.0,13432331,전라남도 무안군
23.0,6.0,3.0,1.0,4.0,0.0,2.0,1.0,5798621,전라남도 함평군
38.0,4.0,4.0,1.0,4.0,0.0,2.0,3.0,6766642,전라남도 영광군
23.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,8925479,전라남도 장성군
65.0,9.0,6.0,7.0,9.0,0.0,2.0,4.0,5703699,전라남도 완도군
63.0,3.0,9.0,2.0,4.0,2.0,2.0,5.0,4186618,전라남도 진도군
66.0,3.0,4.0,13.0,1.0,3.0,0.0,3.0,6536967,전라남도 신안군
48.0,48.0,33.0,7.0,122.0,17.0,6.0,5.0,73820129,전라북도 전주시
66.0,99.0,6.0,12.0,60.0,2.0,4.0,7.0,23993546,전라북도 군산시
82.0,38.0,10.0,4.0,5.0,2.0,6.0,7.0,22630676,전라북도 익산시
69.0,18.0,8.0,5.0,1.0,2.0,4.0,2.0,11655097,전라북도 정읍시
76.0,35.0,9.0,10.0,18.0,3.0,11.0,4.0,9663175,전라북도 남원시
61.0,15.0,3.0,6.0,1.0,4.0,5.0,3.0,10508332,전라북도 김제시
71.0,17.0,5.0,8.0,9.0,2.0,5.0,2.0,17506850,전라북도 완주군
57.0,22.0,3.0,2.0,3.0,3.0,2.0,3.0,4313931,전라북도 진안군
53.0,15.0,6.0,43.0,20.0,2.0,2.0,9.0,7736598,전라북도 무주군
58.0,6.0,2.0,2.0,1.0,0.0,4.0,1.0,2815193,전라북도 장수군
53.0,9.0,3.0,5.0,2.0,1.0,3.0,2.0,6448559,전라북도 임실군
49.0,11.0,5.0,4.0,6.0,1.0,2.0,2.0,4204101,전라북도 순창군
69.0,18.0,6.0,6.0,6.0,3.0,4.0,11.0,9636710,전라북도 고창군
68.0,23.0,7.0,9.0,31.0,1.0,4.0,3.0,9346785,전라북도 부안군
193.0,147.0,28.0,57.0,80.0,17.0,26.0,10.0,56242940,제주특별자치도 제주시
158.0,106.0,38.0,48.0,139.0,22.0,12.0,5.0,41965025,제주특별자치도 서귀포시
39.0,22.0,7.0,9.0,18.0,1.0,5.0,2.0,84352715,충청남도 천안시
52.0,15.0,10.0,14.0,16.0,9.0,1.0,9.0,26789707,충청남도 공주시
70.0,10.0,1.0,9.0,15.0,1.0,1.0,6.0,15897813,충청남도 보령시
49.0,11.0,5.0,18.0,15.0,1.0,4.0,7.0,31687545,충청남도 아산시
56.0,14.0,6.0,12.0,5.0,1.0,1.0,10.0,18298518,충청남도 서산시
48.0,12.0,3.0,4.0,4.0,2.0,1.0,3.0,15166477,충청남도 논산시
10.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,4765335,충청남도 계룡시
27.0,4.0,5.0,10.0,4.0,1.0,3.0,4.0,18750693,충청남도 당진시
45.0,6.0,3.0,4.0,0.0,3.0,3.0,4.0,10117690,충청남도 금산군
71.0,29.0,4.0,9.0,6.0,1.0,3.0,6.0,10688600,충청남도 부여군
42.0,14.0,3.0,11.0,9.0,1.0,5.0,11.0,9185177,충청남도 서천군
32.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,4626416,충청남도 청양군
41.0,9.0,6.0,4.0,2.0,3.0,3.0,4.0,11919333,충청남도 홍성군
35.0,18.0,6.0,8.0,3.0,4.0,4.0,9.0,14116505,충청남도 예산군
78.0,21.0,7.0,27.0,132.0,7.0,2.0,4.0,15253767,충청남도 태안군
73.0,29.0,18.0,11.0,9.0,5.0,11.0,9.0,121062373,충청북도 청주시
113.0,24.0,19.0,20.0,18.0,1.0,7.0,20.0,23503365,충청북도 충주시
85.0,40.0,12.0,27.0,19.0,3.0,5.0,10.0,13712258,충청북도 제천시
33.0,16.0,4.0,10.0,6.0,1.0,3.0,3.0,6303387,충청북도 보은군
32.0,7.0,4.0,7.0,0.0,0.0,1.0,4.0,10686178,충청북도 옥천군
48.0,3.0,3.0,3.0,0.0,3.0,4.0,6.0,6610730,충청북도 영동군
19.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,5489451,충청북도 증평군
41.0,6.0,5.0,9.0,0.0,0.0,4.0,3.0,11224602,충청북도 진천군
103.0,11.0,4.0,17.0,2.0,2.0,4.0,8.0,8974756,충청북도 괴산군
27.0,3.0,9.0,6.0,1.0,2.0,4.0,1.0,15555055,충청북도 음성군
56.0,10.0,4.0,12.0,4.0,0.0,3.0,7.0,8466913,충청북도 단양군
