관광유형,명칭,우편번호,주소,도시,시군구,위도,경도
관광지,장성 축령산 편백숲 (장성 치유의 숲),57231,"전라남도 장성군 서삼면 추암로 716
			",전라남도 장성군,전라남도 장성군,35.36884663,126.73146299999999
관광지,진도 운림산방,58934,"전라남도 진도군 의신면 운림산방로 315
			",전라남도 진도군,전라남도 진도군,34.46644971,126.30837509999999
관광지,화원 오시아노 관광단지,59002,"전라남도 해남군 화원면 시아로 552
			",전라남도 해남군,전라남도 해남군,34.68735197,126.2654237
관광지,진도개테마파크,58927,"전라남도 진도군 진도읍 성죽골길 30
			",전라남도 진도군,전라남도 진도군,34.48239466,126.2785746
관광지,월출산 기찬랜드,58420,"전라남도 영암군 영암읍 기찬랜드로 41-13
			",전라남도 영암군,전라남도 영암군,34.79163326,126.6865868
관광지,표충사(전남),59047,전라남도 해남군 삼산면 대흥사길 400(삼산면),전라남도 해남군,전라남도 해남군,34.47535372,126.6156174
관광지,영광 법성진 숲쟁이,57011,"전라남도 영광군 법성면 법성리 821-1
			",전라남도 영광군,전라남도 영광군,35.36688631,126.4341256
관광지,이난영의 목포의 눈물 노래비,58625,전라남도 목포시 죽교동산 39-1,전라남도 목포시,전라남도 목포시,34.78724806,126.3742645
관광지,담양 메타세쿼이아길,57351,"전라남도 담양군 담양읍 메타세쿼이아로 12
			",전라남도 담양군,전라남도 담양군,35.32385356,127.00415109999999
관광지,무안황토갯벌랜드(구 무안생태갯벌센터),58504,"전라남도 무안군 해제면 만송로 36
			",전라남도 무안군,전라남도 무안군,35.09588472,126.32972759999998
관광지,연소해수욕장,59564,"전라남도 고흥군 금산면 연소양지길 70
			",전라남도 고흥군,전라남도 고흥군,34.44767624,127.11671299999999
관광지,계마항,57000,전라남도 영광군 홍농읍 계마리(홍농읍),전라남도 영광군,전라남도 영광군,35.39296901,126.4068274
관광지,장흥 옥당리 효자송,59350,"전라남도 장흥군 관산읍 효자송길 124
			",전라남도 장흥군,전라남도 장흥군,34.55369187,126.9337986
